"Date","Title","CweId","Url","Severity","Description","Mitigation","Impact","References","Active","Verified"
"2026-03-04","Content Security Policy (CSP) Header Not Set","693","http://localhost:3000","Medium","Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.","","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSPhttps://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.htmlhttps://www.w3.org/TR/CSP/https://w3c.github.io/webappsec-csp/https://web.dev/articles/csphttps://caniuse.com/#feat=contentsecuritypolicyhttps://content-security-policy.com/","TRUE","FALSE"
"2026-03-04","Content Security Policy (CSP) Header Not Set","693","http://localhost:3000/ftp","Medium","Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.","","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSPhttps://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.htmlhttps://www.w3.org/TR/CSP/https://w3c.github.io/webappsec-csp/https://web.dev/articles/csphttps://caniuse.com/#feat=contentsecuritypolicyhttps://content-security-policy.com/","TRUE","FALSE"
"2026-03-04","Content Security Policy (CSP) Header Not Set","693","http://localhost:3000/ftp/coupons_2013.md.bak","Medium","Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.","","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSPhttps://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.htmlhttps://www.w3.org/TR/CSP/https://w3c.github.io/webappsec-csp/https://web.dev/articles/csphttps://caniuse.com/#feat=contentsecuritypolicyhttps://content-security-policy.com/","TRUE","FALSE"
"2026-03-04","Content Security Policy (CSP) Header Not Set","693","http://localhost:3000/ftp/eastere.gg","Medium","Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.","","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSPhttps://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.htmlhttps://www.w3.org/TR/CSP/https://w3c.github.io/webappsec-csp/https://web.dev/articles/csphttps://caniuse.com/#feat=contentsecuritypolicyhttps://content-security-policy.com/","TRUE","FALSE"
"2026-03-04","Content Security Policy (CSP) Header Not Set","693","http://localhost:3000/sitemap.xml","Medium","Content Security Policy (CSP) is an added layer of security that helps to detect and mitigate certain types of attacks, including Cross Site Scripting (XSS) and data injection attacks. These attacks are used for everything from data theft to site defacement or distribution of malware. CSP provides a set of standard HTTP headers that allow website owners to declare approved sources of content that browsers should be allowed to load on that page — covered types are JavaScript, CSS, HTML frames, fonts, images and embeddable objects such as Java applets, ActiveX, audio and video files.","Ensure that your web server, application server, load balancer, etc. is configured to set the Content-Security-Policy header.","","https://developer.mozilla.org/en-US/docs/Web/HTTP/Guides/CSPhttps://cheatsheetseries.owasp.org/cheatsheets/Content_Security_Policy_Cheat_Sheet.htmlhttps://www.w3.org/TR/CSP/https://w3c.github.io/webappsec-csp/https://web.dev/articles/csphttps://caniuse.com/#feat=contentsecuritypolicyhttps://content-security-policy.com/","TRUE","FALSE"
"2026-03-04","Cross-Domain Misconfiguration","264","http://localhost:3000/polyfills.js","Medium","Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.","Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).Configure the Access-Control-Allow-Origin HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.","","https://vulncat.fortify.com/en/detail?category=HTML5&subcategory=Overly%20Permissive%20CORS%20Policy","TRUE","FALSE"
"2026-03-04","Cross-Domain Misconfiguration","264","http://localhost:3000/robots.txt","Medium","Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.","Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).Configure the Access-Control-Allow-Origin HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.","","https://vulncat.fortify.com/en/detail?category=HTML5&subcategory=Overly%20Permissive%20CORS%20Policy","TRUE","FALSE"
"2026-03-04","Cross-Domain Misconfiguration","264","http://localhost:3000/runtime.js","Medium","Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.","Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).Configure the Access-Control-Allow-Origin HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.","","https://vulncat.fortify.com/en/detail?category=HTML5&subcategory=Overly%20Permissive%20CORS%20Policy","TRUE","FALSE"
"2026-03-04","Cross-Domain Misconfiguration","264","http://localhost:3000/styles.css","Medium","Web browser data loading may be possible, due to a Cross Origin Resource Sharing (CORS) misconfiguration on the web server.","Ensure that sensitive data is not available in an unauthenticated manner (using IP address white-listing, for instance).Configure the Access-Control-Allow-Origin HTTP header to a more restrictive set of domains, or remove all CORS headers entirely, to allow the web browser to enforce the Same Origin Policy (SOP) in a more restrictive manner.","","https://vulncat.fortify.com/en/detail?category=HTML5&subcategory=Overly%20Permissive%20CORS%20Policy","TRUE","FALSE"
"2026-03-04","Cross-Domain JavaScript Source File Inclusion","829","http://localhost:3000","Low","The page includes one or more script files from a third-party domain.","Ensure JavaScript source files are loaded from only trusted sources, and the sources can't be controlled by end users of the application.","","","TRUE","FALSE"
